filename,sample,genotype,batch,cell_number
export_A1 Well_075_CD4+TCRb+.csv,WT_1,WT,20230321,14460000
export_A2 Well_076_CD4+TCRb+.csv,WT_2,WT,20230321,12523833
export_A3 Well_077_CD4+TCRb+.csv,WT_3,WT,20230321,7493200
export_A4 Well_078_CD4+TCRb+.csv,RII_1,RII,20230321,66105000
export_A5 Well_079_CD4+TCRb+.csv,RII_2,RII,20230321,84026667
export_A6 Well_080_CD4+TCRb+.csv,RII_3,RII,20230321,21643500
export_A7 Well_081_CD4+TCRb+.csv,PD1_1,PD1,20230321,17647500
export_A8 Well_082_CD4+TCRb+.csv,PD1_2,PD1,20230321,13708833
export_A9 Well_083_CD4+TCRb+.csv,PD1_3,PD1,20230321,24168000
export_B1 Well_085_CD4+TCRb+.csv,2KO_1,2KO,20230321,226133333
export_B2 Well_086_CD4+TCRb+.csv,2KO_2,2KO,20230321,833000000
export_B3 Well_087_CD4+TCRb+.csv,2KO_3,2KO,20230321,626290000
export_B4 Well_088_CD4+TCRb+.csv,PDL1_1,PDL1,20230321,62007333
export_B5 Well_089_CD4+TCRb+.csv,PDL1_2,PDL1,20230321,18443333
export_B6 Well_090_CD4+TCRb+.csv,PDL1_3,PDL1,20230321,32625000
export_B7 Well_091_CD4+TCRb+.csv,PDL12KO_1,PDL12KO,20230321,1375440000
export_B8 Well_092_CD4+TCRb+.csv,PDL12KO_2,PDL12KO,20230321,859357500
export_B9 Well_093_CD4+TCRb+.csv,PDL12KO_3,PDL12KO,20230321,224326667
