filename,sample,genotype,batch,organ,cell_number
"export_A1 Well_158_MHCII, SSC-A subset.csv",WT_1,WT,20230321,lv,
"export_A2 Well_159_MHCII, SSC-A subset.csv",WT_2,WT,20230321,lv,
"export_A3 Well_160_MHCII, SSC-A subset.csv",WT_3,WT,20230321,lv,
"export_A4 Well_161_MHCII, SSC-A subset.csv",RII_1,RII,20230321,lv,
"export_A5 Well_162_MHCII, SSC-A subset.csv",RII_2,RII,20230321,lv,
"export_A6 Well_163_MHCII, SSC-A subset.csv",RII_3,RII,20230321,lv,
"export_A7 Well_164_MHCII, SSC-A subset.csv",PD1_1,PD1,20230321,lv,
"export_A8 Well_165_MHCII, SSC-A subset.csv",PD1_2,PD1,20230321,lv,
"export_A9 Well_166_MHCII, SSC-A subset.csv",PD1_3,PD1,20230321,lv,
"export_B1 Well_168_MHCII, SSC-A subset.csv",2KO_1,2KO,20230321,lv,
"export_B2 Well_169_MHCII, SSC-A subset.csv",2KO_2,2KO,20230321,lv,
"export_B3 Well_170_MHCII, SSC-A subset.csv",2KO_3,2KO,20230321,lv,
"export_B4 Well_171_MHCII, SSC-A subset.csv",PDL1_1,PDL1,20230321,lv,
"export_B5 Well_172_MHCII, SSC-A subset.csv",PDL1_2,PDL1,20230321,lv,
"export_B6 Well_173_MHCII, SSC-A subset.csv",PDL1_3,PDL1,20230321,lv,
"export_B7 Well_174_MHCII, SSC-A subset.csv",PDL12KO_1,PDL12KO,20230321,lv,
"export_B8 Well_175_MHCII, SSC-A subset.csv",PDL12KO_2,PDL12KO,20230321,lv,
"export_B9 Well_176_MHCII, SSC-A subset.csv",PDL12KO_3,PDL12KO,20230321,lv,
"export_B10 Well_177_MHCII, SSC-A subset.csv",CD40_FMO,CD40_FMO,20230321,lv,
"export_B11 Well_178_MHCII, SSC-A subset.csv",CD70_FMO,CD70_FMO,20230321,lv,
